DEPARTAMENTO;IDDEPARTAMENTO;GENERACION_TOTAL_KG;ANIO
CUNDINAMARCA;15;126764.05;2015
CUNDINAMARCA;15;73083.99;2016
CUNDINAMARCA;15;82095.6;2017
CUNDINAMARCA;15;84340.6;2018
CUNDINAMARCA;15;129125.03;2019
CUNDINAMARCA;15;197049.61;2020
GUAINIA;16;0;2015
GUAINIA;16;0;2016
GUAINIA;16;147;2017
GUAINIA;16;270;2018
GUAINIA;16;417;2019
GUAINIA;16;135;2020
GUAVIARE;17;0;2015
GUAVIARE;17;0;2016
GUAVIARE;17;28;2017
GUAVIARE;17;36.6;2018
GUAVIARE;17;22.3;2019
GUAVIARE;17;8.6;2020
HUILA;18;469.5;2015
HUILA;18;8906.5;2016
HUILA;18;3661.58;2017
HUILA;18;42802.57;2019
HUILA;18;3401.38;2018
HUILA;18;16968.32;2020
LA GUAJIRA;19;1244.5;2015
LA GUAJIRA;19;1835.75;2016
LA GUAJIRA;19;1460.46;2017
LA GUAJIRA;19;88872.27;2018
LA GUAJIRA;19;55194.1;2019
LA GUAJIRA;19;4676.22;2020
MAGDALENA;20;885.66;2015
MAGDALENA;20;1152.7;2016
MAGDALENA;20;4215.16;2017
MAGDALENA;20;5749.27;2018
MAGDALENA;20;4118.19;2019
MAGDALENA;20;4350.4;2020
META;21;6871.92;2015
META;21;3228.66;2016
META;21;5456.51;2017
META;21;17747.48;2018
META;21;11418.21;2019
META;21;30692.36;2020
NARINO;22;20111.06;2015
NARINO;22;22316.6;2016
NARINO;22;11993.04;2017
NARINO;22;44565.28;2018
NARINO;22;6846.17;2019
NARINO;22;44910.97;2020
NORTE DE SANTANDER;23;246.3;2015
NORTE DE SANTANDER;23;479.53;2016
NORTE DE SANTANDER;23;5734;2017
NORTE DE SANTANDER;23;10901.74;2018
NORTE DE SANTANDER;23;13668.84;2019
NORTE DE SANTANDER;23;50771.1;2020
PUTUMAYO;24;9;2015
PUTUMAYO;24;1645;2016
PUTUMAYO;24;1076;2017
PUTUMAYO;24;474.3;2018
PUTUMAYO;24;1094.75;2019
PUTUMAYO;24;625.2;2020
QUINDIO;25;3922;2015
QUINDIO;25;2097.4;2016
QUINDIO;25;3327.67;2017
QUINDIO;25;1811.33;2018
QUINDIO;25;4908.8;2019
QUINDIO;25;8384.85;2020
RISARALDA;26;16540.01;2015
RISARALDA;26;105934.53;2016
RISARALDA;26;19940.42;2017
RISARALDA;26;61169.97;2018
RISARALDA;26;93265.76;2019
RISARALDA;26;114751.03;2020
SANTANDER;27;10075.86;2015
SANTANDER;27;11372.28;2016
SANTANDER;27;39465.85;2017
SANTANDER;27;11690.49;2018
SANTANDER;27;72216.93;2019
SANTANDER;27;49835.43;2020
SUCRE;28;149.53;2015
SUCRE;28;1401.27;2016
SUCRE;28;11058.28;2017
SUCRE;28;3658.9;2018
SUCRE;28;229.6;2019
SUCRE;28;559.7;2020
TOLIMA;29;2927.7;2015
TOLIMA;29;3592.43;2016
TOLIMA;29;7279.16;2017
TOLIMA;29;2573.36;2018
TOLIMA;29;9103.62;2019
TOLIMA;29;5893.87;2020
VALLE DEL CAUCA;30;61074.25;2015
VALLE DEL CAUCA;30;89112.05;2016
VALLE DEL CAUCA;30;87127.34;2017
VALLE DEL CAUCA;30;148763.76;2018
VALLE DEL CAUCA;30;110678.4;2019
VALLE DEL CAUCA;30;108838.63;2020
VAUPES;31;0;2015
VAUPES;31;0;2016
VAUPES;31;30;2017
VAUPES;31;25.4;2018
VAUPES;31;38.12;2019
VAUPES;31;76.25;2020
VICHADA;29;0;2015
VICHADA;30;0;2016
VICHADA;31;0;2017
VICHADA;32;0;2019
VICHADA;32;0;2018
VICHADA;32;23;2020
